W,I
2455.533852464128,-24.2
2455.9182350936517,-17.6
2456.302560018208,-20.8
2456.686827241915,-17.6
2457.0710367688866,-22.4
2457.4551886032355,-20.4
2457.839282749071,-16.8
2458.22331921052,-15.2
2458.607297991689,-15.2
2458.9912190966893,-14.0
2459.37508252965,-18.6
2459.7588882946757,-17.2
2460.142636395888,-14.4
2460.5263268374056,-13.6
2460.909959623343,-11.6
2461.2935347578236,-16.8
2461.677052244967,-19.4
2462.0605120888836,-15.2
2462.443914293701,-17.2
2462.827258863541,-16.4
2463.210545802523,-21.6
2463.593775114763,-23.4
2463.976946804388,-23.6
2464.360060875515,-17.8
2464.7431173322757,-17.4
2465.126116178787,-14.8
2465.5090574191777,-24.8
2465.891941057564,-16.0
2466.2747670980784,-20.8
2466.657535544843,-18.0
2467.040246401982,-10.0
2467.4228996736183,-16.6
2467.805495363893,-12.0
2468.188033476913,-21.0
2468.5705140168225,-16.6
2468.952936987745,-18.0
2469.3353023938057,-14.6
2469.717610239135,-20.6
2470.099860527859,-11.8
2470.4820532641183,-14.6
2470.86418845203,-24.4
2471.2462660957394,-19.4
2471.628286199363,-19.0
2472.0102487670406,-16.8
2472.3921538029044,-19.8
2472.7740013110874,-17.0
2473.155791295721,-20.0
2473.537523760938,-14.6
2473.9191987108775,-22.4
2474.300816149668,-19.8
2474.68237608145,-19.6
2475.063878510358,-18.8
2475.4453234405223,-21.8
2475.8267108760874,-14.4
2476.2080408211864,-17.4
2476.5893132799583,-16.8
2476.9705282565405,-17.2
2477.351685755071,-14.4
2477.7327857796904,-21.4
2478.1138283345363,-27.8
2478.494813423749,-15.2
2478.875741051467,-17.0
2479.2566112218324,-18.2
2479.637423938991,-16.2
2480.0181792070825,-16.0
2480.398877030244,-10.2
2480.779517412624,-17.2
2481.1601003583637,-14.2
2481.540625871603,-16.8
2481.9210939564896,-16.6
2482.30150461717,-15.8
2482.6818578577895,-14.8
2483.0621536824865,-14.6
2483.4423920954123,-22.0
2483.822573100716,-10.2
2484.202696702541,-25.4
2484.5827629050327,-18.0
2484.962771712345,-13.4
2485.342723128618,-13.8
2485.7226171580146,-16.4
2486.1024538046663,-23.4
2486.4822330727325,-26.4
2486.861954966366,-17.6
2487.2416194897146,-14.8
2487.6212266469224,-17.0
2488.0007764421503,-19.6
2488.3802688795467,-12.8
2488.7597039632665,-19.0
2489.1390816974613,-17.2
2489.5184020862803,-18.8
2489.897665133888,-10.6
2490.276870844429,-16.0
2490.6560192220622,-23.6
2491.03511027094,-15.0
2491.414143995223,-25.4
2491.7931203990624,-19.2
2492.1720394866193,-22.6
2492.550901262048,-17.0
2492.929705729511,-17.2
2493.3084528931563,-20.0
2493.6871427571564,-17.2
2494.065775325658,-16.4
2494.4443506028265,-20.4
2494.822868592823,-23.4
2495.2013292998063,-20.2
2495.579732727936,-18.8
2495.958078881373,-21.2
2496.33636776428,-14.4
2496.7145993808213,-19.8
2497.0927737351594,-15.0
2497.470890831456,-15.2
2497.8489506738724,-17.4
2498.2269532665846,-20.0
2498.6048986137407,-22.6
2498.9827867195154,-20.8
2499.3606175880714,-24.4
2499.7383912235787,-14.6
2500.116107630201,-22.0
2500.493766812099,-13.4
2500.8713687734535,-17.4
2501.2489135184196,-16.4
2501.626401051175,-12.2
2502.003831375882,-12.2
2502.3812044967135,-12.0
2502.758520417836,-19.8
2503.135779143425,-17.8
2503.512980677645,-12.2
2503.890125024673,-21.4
2504.267212188674,-21.0
2504.6442421738293,-16.0
2505.0212149843014,-15.6
2505.39813062427,-16.4
2505.774989097903,-14.2
2506.1517904093794,-15.8
2506.5285345628704,-16.2
2506.905221562551,-17.6
2507.2818514126016,-15.0
2507.6584241171854,-17.6
2508.0349396804936,-10.8
2508.411398106695,-17.2
2508.7877993999646,-9.4
2509.1641435644856,-17.6
2509.540430604433,-12.8
2509.9166605239843,-18.6
2510.2928333273167,-20.0
2510.668949018617,-16.8
2511.045007602061,-17.4
2511.421009081826,-20.6
2511.7969534620966,-14.0
2512.1728407470473,-18.8
2512.548670940871,-17.0
2512.9244440477423,-17.0
2513.3001600718444,-21.6
2513.6758190173637,-17.8
2514.0514208884733,-27.0
2514.4269656893725,-20.6
2514.802453424236,-18.0
2515.17788409725,-13.4
2515.553257712603,-20.4
2515.9285742744732,-15.6
2516.303833787056,-21.8
2516.6790362545303,-15.0
2517.054181681089,-13.4
2517.4292700709184,-18.6
2517.8043014282052,-9.2
2518.179275757134,-16.0
2518.5541930619006,-23.2
2518.929053346691,-15.6
2519.303856615698,-10.6
2519.6786028731067,-19.0
2520.0532921231106,-17.0
2520.427924369902,-11.2
2520.8024996176746,-18.2
2521.17701787061,-12.4
2521.551479132912,-17.2
2521.9258834087736,-12.4
2522.3002307023753,-13.0
2522.674521017929,-17.4
2523.048754359612,-18.8
2523.422930731632,-18.6
2523.797050138178,-14.4
2524.1711125834477,-18.6
2524.545118071633,-24.6
2524.9190666069367,-17.6
2525.292958193556,-16.2
2525.666792835683,-18.6
2526.0405705375174,-14.2
2526.4142913032574,-17.6
2526.787955137108,-20.2
2527.161562043262,-19.6
2527.5351120259143,-25.0
2527.908605089277,-18.0
2528.2820412375445,-14.0
2528.6554204749186,-20.4
2529.0287428056,-18.6
2529.4020082337906,-16.2
2529.775216763696,-17.8
2530.1483683995148,-10.2
2530.5214631454546,-19.2
2530.8945010057137,-13.2
2531.2674819845024,-22.4
2531.6404060860195,-19.0
2532.013273314475,-19.0
2532.3860836740705,-20.2
2532.758837169016,-21.0
2533.1315338035183,-21.6
2533.504173581778,-12.6
2533.87675650801,-18.2
2534.2492825864133,-14.4
2534.6217518212084,-22.6
2534.9941642165923,-21.2
2535.366519776782,-20.8
2535.7388185059817,-20.6
2536.1110604084056,-17.0
2536.4832454882617,-21.4
2536.8553737497614,-20.6
2537.2274451971157,-26.0
2537.599459834538,-14.4
2537.9714176662387,-15.2
2538.3433186964317,-19.0
2538.7151629293344,-18.8
2539.0869503691492,-20.4
2539.4586810201,-20.0
2539.8303548863973,-21.2
2540.20197197226,-19.8
2540.573532281893,-12.8
2540.9450358195245,-19.0
2541.3164825893664,-16.2
2541.6878725956326,-15.6
2542.0592058425464,-17.2
2542.4304823343127,-20.2
2542.8017020751645,-25.0
2543.1728650693144,-19.6
2543.5439713209807,-24.4
2543.9150208343785,-19.2
2544.2860136137356,-22.6
2544.6569496632683,-17.8
2545.027828987198,-21.6
2545.3986515897445,-21.2
2545.7694174751314,-20.2
2546.1401266475773,-18.4
2546.5107791113114,-21.6
2546.88137487055,-13.0
2547.2519139295173,-20.6
2547.622396292439,-19.2
2547.9928219635394,-22.6
2548.3631909470428,-15.2
2548.7335032471724,-26.0
2549.103758868157,-19.2
2549.473957814219,-20.2
2549.8441000895864,-20.8
2550.214185698487,-22.4
2550.5842146451505,-21.0
2550.9541869338,-26.2
2551.3241025686616,-20.0
2551.693961553973,-21.0
2552.0637638939515,-18.6
2552.433509592836,-16.0
2552.803198654851,-19.0
2553.1728310842313,-14.2
2553.542406885205,-14.2
2553.911926062005,-15.8
2554.2813886188624,-20.6
2554.6507945600065,-16.6
2555.0201438896734,-16.2
2555.389436612093,-18.4
2555.758672731503,-21.4
2556.127852252131,-16.6
2556.4969751782187,-15.4
2556.866041513995,-17.2
2557.2350512637,-19.0
2557.604004431563,-19.2
2557.972901021824,-17.8
2558.341741038723,-14.8
2558.7105244864847,-14.2
2559.079251369359,-25.6
2559.447921691579,-18.0
2559.816535457383,-20.2
2560.1850926710113,-13.0
2560.5535933367005,-14.6
2560.922037458692,-17.2
2561.2904250412275,-15.2
2561.658756088539,-14.6
2562.027030604873,-14.6
2562.3952485944724,-24.0
2562.7634100615774,-16.6
2563.1315150104324,-20.6
2563.499563445271,-22.0
2563.86755537035,-19.4
2564.235490789904,-13.4
2564.603369708178,-17.4
2564.9711921294124,-15.4
2565.3389580578564,-15.2
2565.706667497765,-20.6
2566.0743204533596,-17.6
2566.4419169289104,-13.8
2566.8094569286495,-26.6
2567.1769404568277,-23.6
2567.544367517696,-22.6
2567.9117381154947,-23.4
2568.2790522544783,-25.0
2568.6463099388916,-16.2
2569.013511172988,-18.8
2569.380655961008,-21.0
2569.7477443072103,-16.8
2570.1147762158457,-18.8
2570.481751691157,-17.2
2570.8486707374013,-17.4
2571.215533358833,-21.4
2571.5823395596935,-15.8
2571.9490893442457,-14.4
2572.3157827167392,-17.4
2572.6824196814273,-21.8
2573.0490002425595,-14.6
2573.4155244043945,-18.4
2573.781992171189,-20.4
