W,I
1184.7375146919894,23.6
1185.2324621744372,32.8
1185.7273373386745,25.2
1186.2221401907382,27.0
1186.7168707366454,38.9
1187.211528982427,145.9
1187.7061149341214,29.9
1188.2006285977398,32.4
1188.6950699793254,29.1
1189.1894390849063,33.6
1189.6837359205042,28.9
1190.177960492156,32.8
1190.6721128058898,35.7
1191.1661928677404,31.3
1191.6602006837272,32.0
1192.1541362598914,26.5
1192.6479996022674,29.9
1193.1417907168795,35.2
1193.6355096097577,34.9
1194.1291562869412,30.8
1194.6227307544602,25.4
1195.1162330183495,31.1
1195.6096630846391,29.2
1196.1030209593728,29.8
1196.5963066485674,32.3
1197.0895201582669,30.6
1197.582661494514,23.0
1198.0757306633286,30.1
1198.568727670752,29.7
1199.0616525228204,34.9
1199.5545052255713,37.5
1200.0472857850411,30.2
1200.5399942072647,35.0
1201.0326304982723,28.3
1201.5251946641117,36.0
1202.0176867108155,29.5
1202.5101066444245,31.2
1203.0024544709715,28.6
1203.4947301964955,32.5
1203.9869338270398,38.6
1204.4790653686389,27.1
1204.9711248273363,29.2
1205.463112209169,32.2
1205.9550275201757,29.7
1206.4468707663978,26.9
1206.9386419538762,32.9
1207.4303410886503,30.0
1207.921968176763,31.9
1208.4135232242559,26.3
1208.9050062371698,30.9
1209.396417221544,29.2
1209.887756183428,36.0
1210.379023128855,29.5
1210.870218063876,31.2
1211.3613409945267,32.9
1211.8523919268584,30.0
1212.3433708669147,30.8
1212.8342778207325,32.4
1213.3251127943636,35.1
1213.815875793843,24.5
1214.3065668252266,32.3
1214.7971858945536,33.7
1215.2877330078743,33.8
1215.7782081712314,30.8
1216.2686113906664,34.3
1216.7589426722377,35.3
1217.24920202198,28.5
1217.7393894459476,31.8
1218.2295049501859,26.0
1218.7195485407447,26.7
1219.209520223665,34.4
1219.699420005008,34.2
1220.1892478908082,31.9
1220.6790038871238,33.3
1221.168688000005,37.5
1221.6583002354905,29.5
1222.1478405996456,32.7
1222.637309098507,38.2
1223.1267057381312,36.6
1223.6160305245637,31.6
1224.1052834638692,27.7
1224.5944645620848,26.5
1225.083573825269,30.4
1225.5726112594696,30.9
1226.0615768707426,34.1
1226.5504706651382,25.7
1227.0392926487104,35.3
1227.5280428275134,31.4
1228.0167212076037,30.6
1228.5053277950246,30.8
1228.9938625958343,32.2
1229.4823256160985,25.7
1229.9707168618554,25.7
1230.4590363391683,29.8
1230.9472840540936,26.0
1231.435460012679,29.7
1231.9235642209912,26.7
1232.4115966850786,25.9
1232.8995574109993,30.7
1233.3874464048117,29.0
1233.875263672577,28.5
1234.363009220338,26.3
1234.8506830541623,23.4
1235.3382851801125,25.7
1235.8258156042407,23.5
1236.3132743326012,26.2
1236.800661371261,27.2
1237.287976726272,34.8
1237.7752204037017,25.4
1238.2623924096044,28.5
1238.7494927500404,27.8
1239.2365214310705,26.5
1239.7234784587577,29.3
1240.2103638391584,19.7
1240.697177578333,23.4
1241.183919682349,24.9
1241.6705901572623,28.9
1242.1571890091384,22.8
1242.643716244038,28.2
1243.1301718680236,27.5
1243.6165558871583,29.4
1244.1028683075092,28.3
1244.5891091351327,29.0
1245.0752783761004,32.5
1245.5613760364663,25.4
1246.0474021223042,27.3
1246.5333566396728,30.2
1247.0192395946412,24.5
1247.5050509932703,22.2
1247.9907908416315,27.4
1248.4764591457854,28.4
1248.962055911797,22.5
1249.447581145736,24.6
1249.9330348536716,24.6
1250.4184170416643,27.7
1250.9037277157881,19.6
1251.3889668821057,25.2
1251.874134546682,24.5
1252.3592307155932,28.2
1252.8442553949017,28.1
1253.3292085906796,29.2
1253.814090308998,24.5
1254.2989005559177,21.2
1254.7836393375146,22.8
1255.2683066598581,18.9
1255.752902529013,21.6
1256.2374269510622,20.9
1256.7218799320635,23.5
1257.2062614780955,24.7
1257.690571595223,25.8
1258.174810289522,21.0
1258.6589775670639,22.2
1259.1430734339203,16.6
1259.627097896167,19.6
1260.1110509598668,19.8
1260.5949326311045,17.9
1261.0787429159493,22.8
1261.5624818204685,22.9
1262.0461493507441,15.6
1262.5297455128502,25.6
1263.013270312854,16.9
1263.4967237568355,24.8
1263.9801058508685,26.1
1264.4634166010287,20.8
1264.94665601339,22.1
1265.429824094035,20.1
1265.9129208490303,18.9
1266.3959462844546,23.2
1266.878900406394,21.2
1267.3617832209072,22.1
1267.84459473409,18.7
1268.3273349520111,27.5
1268.8100038807468,14.6
1269.2926015263795,22.0
1269.7751278949804,15.8
1270.2575829926411,18.5
1270.7399668254325,19.7
1271.2222793994308,12.6
1271.704520720725,18.2
1272.186690795382,16.1
1272.668789629491,19.4
1273.1508172291296,15.9
1273.6327736003807,15.3
1274.114658749324,20.4
1274.5964726820334,22.1
1275.0782154046046,16.2
1275.5598869231108,15.4
1276.0414872436324,16.7
1276.5230163722586,17.9
1277.004474315069,15.0
1277.485861078142,13.4
1277.96717666756,16.3
1278.4484210894184,13.5
1278.9295943497884,13.6
1279.4106964547614,13.6
1279.8917274104153,16.3
1280.3726872228433,17.5
1280.8535758981216,23.9
1281.3343934423385,15.4
1281.8151398615767,12.0
1282.295815161938,15.8
1282.776419349479,15.7
1283.2569524303121,12.9
1283.7374144105113,13.4
1284.2178052961694,16.8
1284.698125093367,11.3
1285.1783738081972,19.5
1285.6585514467401,14.3
1286.1386580150934,14.4
1286.618693519333,12.8
1287.0986579655605,10.3
1287.5785513598564,12.5
1288.058373708316,9.5
1288.5381250170194,11.8
1289.0178052920621,11.9
1289.4974145395374,11.7
1289.9769527655253,8.8
1290.4564199761235,19.1
