,Scheduled Time,Actual Time
0,1050,3.406951427
1,1314.285714,3.220060825
2,1578.571429,3.168781757
3,1842.857143,3.20634079
4,2107.142857,3.30774951
5,2371.428571,3.444421053
6,2635.714286,3.602116823
7,2900,3.782378674
8,3164.285714,3.977476597
9,3428.571429,4.184767485
10,3692.857143,4.400312662
11,3957.142857,4.620112658
12,4221.428571,4.852263689
13,4485.714286,5.085128307
14,4750,5.320225477
15,5014.285714,5.555906057
16,5278.571429,5.80005908
17,5542.857143,6.040866375
18,5807.142857,6.286721468
19,6071.428571,6.535091162
20,6335.714286,6.782514334
21,6600,7.033191681
22,6864.285714,7.288164377
23,7128.571429,7.539217949
24,7392.857143,7.793504
25,7657.142857,8.048000574
26,7921.428571,8.302616835
27,8185.714286,8.556441307
28,8450,8.815733194
29,8714.285714,9.070713758
30,8978.571429,9.327560186
31,9242.857143,9.588823795
32,9507.142857,9.844185114
33,9771.428571,10.10523963
34,10035.71429,10.36198163
35,10300,10.61877871
36,10564.28571,10.87896657
37,10828.57143,11.13928461
38,11092.85714,11.39829993
39,11357.14286,11.66160607
40,11621.42857,11.92214036
41,11885.71429,12.18397856
42,12150,12.44333744
43,12414.28571,12.70579433
44,12678.57143,12.96364212
45,12942.85714,13.22930145
46,13207.14286,13.4885335
47,13471.42857,13.7506218
48,13735.71429,14.01244831
49,14000,14.27741051
